time,ALQ,EZB_Einlagenfazilität,HVPI,Auftragseingang_Bau,IR_eff_total,VOL_total
2003-01,10.4,1.75,82.0,129.1,5.32,15547
2003-02,10.5,1.75,82.4,126.5,5.13,12498
2003-03,10.5,1.5,82.5,138.0,5.02,14210
2003-04,10.6,1.5,82.3,129.8,4.98,16540
2003-05,10.6,1.5,82.1,121.5,4.9,12279
2003-06,10.6,1.0,82.3,127.6,4.76,13149
2003-07,10.6,1.0,82.5,128.8,4.6,17231
2003-08,10.5,1.0,82.5,131.5,4.71,13437
2003-09,10.5,1.0,82.4,128.6,4.84,14926
2003-10,10.5,1.0,82.4,133.3,4.81,15156
2003-11,10.5,1.0,82.2,137.7,4.93,13245
2003-12,10.5,1.0,82.9,136.6,4.98,17441
2004-01,10.3,1.0,82.9,109.3,4.94,15286
2004-02,10.3,1.0,83.1,135.7,4.86,11346
2004-03,10.4,1.0,83.4,120.9,4.77,14144
2004-04,10.4,1.0,83.7,115.9,4.66,13903
2004-05,10.5,1.0,83.9,121.7,4.72,12177
2004-06,10.5,1.0,83.9,118.6,4.75,14019
2004-07,10.6,1.0,84.1,114.6,4.73,15348
2004-08,10.6,1.0,84.3,114.6,4.8,10854
2004-09,10.7,1.0,84.0,118.0,4.77,11119
2004-10,10.7,1.0,84.2,111.5,4.66,12241
2004-11,10.8,1.0,83.8,110.5,4.64,11143
2004-12,10.9,1.0,84.8,113.2,4.53,13789
2005-01,11.6,1.0,84.3,103.2,4.47,12926
2005-02,11.9,1.0,84.6,104.4,4.41,9950
2005-03,12.1,1.0,84.9,112.1,4.4,12844
2005-04,11.9,1.0,84.9,100.0,4.41,13669
2005-05,11.9,1.0,85.2,113.8,4.32,12015
2005-06,11.8,1.0,85.3,107.9,4.2,14434
2005-07,11.7,1.0,85.7,108.0,4.14,16593
2005-08,11.7,1.0,85.9,108.0,4.12,14853
2005-09,11.6,1.0,86.2,105.9,4.11,14204
2005-10,11.5,1.0,86.2,110.3,4.12,14545
2005-11,11.5,1.0,85.7,110.2,4.19,15980
2005-12,11.3,1.25,86.6,119.8,4.27,19719
2006-01,11.4,1.25,86.1,112.3,4.35,20235
2006-02,11.4,1.25,86.4,107.3,4.34,14884
2006-03,11.4,1.5,86.5,105.3,4.43,17351
2006-04,11.3,1.5,86.8,115.6,4.53,16110
2006-05,10.9,1.5,87.0,113.2,4.61,15761
2006-06,10.8,1.75,87.1,116.7,4.68,15743
2006-07,10.6,1.75,87.5,123.3,4.75,15445
2006-08,10.5,2.0,87.4,109.3,4.8,14902
2006-09,10.5,2.0,87.0,109.0,4.78,13132
2006-10,10.3,2.25,87.1,107.6,4.75,15171
2006-11,10.1,2.25,87.0,105.0,4.76,14420
2006-12,9.8,2.5,87.8,109.7,4.73,15001
2007-01,9.6,2.5,87.6,106.4,4.81,17214
2007-02,9.5,2.5,88.0,100.0,4.91,12763
2007-03,9.3,2.75,88.2,97.6,4.91,16403
2007-04,9.2,2.75,88.6,105.2,4.93,16257
2007-05,9.1,2.75,88.7,103.4,4.98,15696
2007-06,9.0,3.0,88.8,104.6,5.13,16110
2007-07,8.9,3.0,89.3,101.2,5.27,17313
2007-08,8.8,3.0,89.1,102.4,5.31,14888
2007-09,8.7,3.0,89.3,100.3,5.27,13166
2007-10,8.6,3.0,89.4,100.0,5.24,15253
2007-11,8.5,3.0,89.9,91.1,5.22,13623
2007-12,8.4,3.0,90.5,97.3,5.22,13088
2008-01,8.2,3.0,90.2,98.4,5.23,16211
2008-02,8.0,3.0,90.6,96.4,5.09,12265
2008-03,7.9,3.0,91.1,99.1,5.02,12444
2008-04,7.9,3.0,90.9,83.1,5.07,16717
2008-05,7.9,3.0,91.5,92.3,5.12,14133
2008-06,7.7,3.0,91.8,95.6,5.24,15739
2008-07,7.7,3.25,92.3,95.5,5.42,17390
2008-08,7.6,3.25,92.0,92.2,5.48,13063
2008-09,7.6,3.25,92.0,98.2,5.39,14136
2008-10,7.6,3.25,91.7,90.8,5.37,15692
2008-11,7.6,2.75,91.2,99.7,5.21,13446
2008-12,7.7,2.0,91.5,82.8,4.9,15160
2009-01,7.8,1.0,91.1,77.2,4.76,16761
2009-02,7.9,1.0,91.6,83.2,4.5,13850
2009-03,8.1,0.5,91.4,84.1,4.34,17570
2009-04,8.3,0.25,91.5,94.4,4.25,18398
2009-05,8.2,0.25,91.4,91.9,4.21,16194
2009-06,8.3,0.25,91.8,93.8,4.23,17816
2009-07,8.3,0.25,91.7,98.4,4.22,19866
2009-08,8.2,0.25,92.0,96.1,4.18,15779
2009-09,8.2,0.25,91.6,96.7,4.14,14807
2009-10,8.1,0.25,91.6,100.5,4.08,15955
2009-11,8.1,0.25,91.5,99.9,4.06,13720
2009-12,8.1,0.25,92.3,92.8,4.05,14486
2010-01,8.0,0.25,91.7,75.7,3.99,13789
2010-02,8.0,0.25,92.0,90.5,3.97,11896
2010-03,8.0,0.25,92.5,99.0,3.88,15310
2010-04,7.8,0.25,92.4,100.9,3.88,14797
2010-05,7.7,0.25,92.5,102.6,3.8,13846
2010-06,7.7,0.25,92.6,93.5,3.68,14619
2010-07,7.6,0.25,92.8,103.5,3.56,17726
2010-08,7.6,0.25,92.9,108.5,3.62,14765
2010-09,7.5,0.25,92.7,113.3,3.52,15880
2010-10,7.4,0.25,92.8,104.0,3.45,16502
2010-11,7.4,0.25,92.9,105.0,3.53,15880
2010-12,7.4,0.25,94.0,103.5,3.61,17413
2011-01,7.4,0.25,93.5,101.7,3.69,16627
2011-02,7.3,0.25,94.1,112.1,3.9,14116
2011-03,7.2,0.25,94.7,119.4,3.97,17046
2011-04,7.1,0.5,94.9,118.8,4.07,16160
2011-05,7.1,0.5,94.8,131.8,4.15,15927
2011-06,7.0,0.5,94.8,110.0,4.1,13517
2011-07,7.0,0.75,95.2,120.5,4.0,15501
2011-08,7.0,0.75,95.2,121.2,3.97,15053
2011-09,6.9,0.75,95.3,108.3,3.73,15004
2011-10,6.9,0.75,95.4,120.8,3.56,15908
2011-11,6.8,0.5,95.4,130.0,3.53,15885
2011-12,6.8,0.25,96.1,127.0,3.49,16409
2012-01,6.8,0.25,95.7,130.4,3.46,15200
2012-02,6.8,0.25,96.5,129.4,3.39,13738
2012-03,6.8,0.25,96.9,123.9,3.27,15889
2012-04,6.9,0.25,97.0,125.3,3.3,15188
2012-05,6.8,0.25,96.8,118.9,3.18,14935
2012-06,6.8,0.25,96.6,138.0,3.03,16205
2012-07,6.8,0.0,97.0,124.1,2.99,18522
2012-08,6.8,0.0,97.4,130.3,2.92,17336
2012-09,6.8,0.0,97.4,121.5,2.86,14897
2012-10,6.8,0.0,97.4,128.6,2.83,17057
2012-11,6.8,0.0,97.2,129.8,2.8,16258
2012-12,6.9,0.0,98.1,118.0,2.79,14067
2013-01,6.9,0.0,97.5,129.8,2.75,17097
2013-02,6.9,0.0,98.2,123.2,2.77,14257
2013-03,6.9,0.0,98.7,125.9,2.78,15371
